,geometry,highway,lat,lon,osmid
608,POINT (590597.6054490485 4506203.618380855),,40.701762,-73.927588,42496653
609,POINT (590661.5471209311 4506156.881262485),,40.701334,-73.926838,42496656
610,POINT (590790.1891673014 4506063.750969714),,40.700481,-73.925329,42496660
611,POINT (590917.7361591739 4505970.609413017),,40.699628,-73.923833,42496664
612,POINT (590981.9961110277 4505924.433971608),,40.699205,-73.9230792,42496668
613,POINT (591046.0508205163 4505877.146315613),,40.698772,-73.922328,42496674
614,POINT (591093.4611319791 4505842.1672365),,40.6984517,-73.921772,42496676
615,POINT (591110.334734784 4505830.528145961),,40.698345,-73.921574,42496680
616,POINT (591238.2304640045 4505737.174132112),,40.69749,-73.920074,42496687
617,POINT (591302.4350513805 4505690.334544277),,40.697061,-73.919321,42496692
618,POINT (591430.5863647101 4505597.208915532),,40.696208,-73.917818,42496698
619,POINT (591494.2823464874 4505550.697732875),,40.695782,-73.917071,42496701
620,POINT (591558.9153641857 4505503.643516778),,40.695351,-73.916313,42496742
621,POINT (591622.9550317597 4505456.804566636),,40.694922,-73.915562,42496748
622,POINT (591687.2434996194 4505410.413315926),,40.694497,-73.914808,42496752
623,POINT (589889.81029172 4507297.581438693),,40.711693,-73.935808,42496923
624,POINT (590323.7485436428 4507439.965571131),,40.712928,-73.930651,42496929
625,POINT (590422.4109501514 4507475.473678599),,40.713237,-73.929478,42496931
626,POINT (590554.6473333548 4507521.82907612),,40.71364,-73.927906,42496935
627,POINT (588620.0048086987 4507040.275840761),,40.709513,-73.950875,42496941
628,POINT (588807.2505918656 4507066.051464544),,40.709725,-73.948655,42496943
629,POINT (590077.9538670101 4505578.007087017),,40.696184,-73.933828,42498583
630,POINT (590160.4179289393 4505697.025609896),,40.697247,-73.932835,42498587
631,POINT (588194.5008911986 4505878.020921148),,40.69909,-73.956075,42498634
632,POINT (588274.489614235 4505390.252363189),,40.694688,-73.955197,42498637
633,POINT (588341.1010082064 4504983.493789225),,40.6910171,-73.954466,42498645
634,POINT (591145.6142879853 4504801.442268498),,40.689072,-73.921306,42498796
635,POINT (591261.9640977331 4504961.301651093),,40.690499,-73.919906,42498799
636,POINT (591368.8376777449 4505107.945656368),,40.691808,-73.91862,42498806
637,POINT (591743.2721607609 4505622.161378251),,40.696398,-73.914114,42498811
638,POINT (589165.3042030267 4504618.002064516),,40.6876363,-73.9447649,42498863
639,POINT (589404.4074080646 4504657.092646254),,40.6879625,-73.9419301,42498872
640,POINT (589643.305911737 4504696.155219298),,40.6882884,-73.9390977,42498881
641,POINT (590383.9757095691 4504814.436236668),,40.6892729,-73.9303165,42498900
642,POINT (590986.792737859 4504916.002019381),,40.6901214,-73.9231687,42498914
643,POINT (589453.9307103786 4506025.320726723),,40.700281,-73.941149,42499079
644,POINT (589514.4534912402 4506114.424521199),,40.701077,-73.94042,42499081
645,POINT (588763.0643371904 4506529.394834689),,40.704896,-73.949254,42499129
646,POINT (588802.7261145043 4506484.017051889),,40.704483,-73.948791,42499132
647,POINT (588857.8519404751 4506418.030099529),traffic_signals,40.7038827,-73.9481479,42499136
648,POINT (589018.2019918545 4506235.354588434),,40.70222,-73.946276,42499143
649,POINT (589072.2622763279 4506173.275464831),,40.701655,-73.945645,42499144
650,POINT (589126.3221219151 4506111.30773289),,40.701091,-73.945014,42499146
651,POINT (589179.5820789412 4506037.928744338),,40.7004243,-73.9443941,42499149
652,POINT (589192.6826245069 4505957.461565675),,40.6996981,-73.9442505,42499151
653,POINT (589205.7835527784 4505876.983314893),,40.6989718,-73.9441069,42499154
654,POINT (589258.8370148605 4505551.137080067),,40.6960311,-73.9435254,42499160
